sentence_id,token_id,word,pos
1,1,The,DET
1,2,student,NOUN
1,3,reads,VERB
1,4,a,DET
1,5,book,NOUN
1,6,.,PUNCT
2,1,The,DET
2,2,teacher,NOUN
2,3,helps,VERB
2,4,the,DET
2,5,student,NOUN
2,6,.,PUNCT
3,1,A,DET
3,2,boy,NOUN
3,3,plays,VERB
3,4,football,NOUN
3,5,.,PUNCT
4,1,The,DET
4,2,girl,NOUN
4,3,writes,VERB
4,4,a,DET
4,5,letter,NOUN
4,6,.,PUNCT
5,1,Students,NOUN
5,2,study,VERB
5,3,English,PROPN
5,4,at,ADP
5,5,school,NOUN
5,6,.,PUNCT
6,1,The,DET
6,2,cat,NOUN
6,3,sleeps,VERB
6,4,on,ADP
6,5,the,DET
6,6,mat,NOUN
6,7,.,PUNCT
7,1,The,DET
7,2,dog,NOUN
7,3,runs,VERB
7,4,in,ADP
7,5,the,DET
7,6,park,NOUN
7,7,.,PUNCT
8,1,A,DET
8,2,child,NOUN
8,3,eats,VERB
8,4,an,DET
8,5,apple,NOUN
8,6,.,PUNCT
9,1,The,DET
9,2,doctor,NOUN
9,3,visits,VERB
9,4,the,DET
9,5,patient,NOUN
9,6,.,PUNCT
10,1,The,DET
10,2,driver,NOUN
10,3,drives,VERB
10,4,a,DET
10,5,car,NOUN
10,6,.,PUNCT
11,1,The,DET
11,2,small,ADJ
11,3,bird,NOUN
11,4,sings,VERB
11,5,.,PUNCT
12,1,The,DET
12,2,big,ADJ
12,3,dog,NOUN
12,4,runs,VERB
12,5,quickly,ADV
12,6,.,PUNCT
13,1,The,DET
13,2,happy,ADJ
13,3,child,NOUN
13,4,plays,VERB
13,5,outside,ADV
13,6,.,PUNCT
14,1,A,DET
14,2,beautiful,ADJ
14,3,flower,NOUN
14,4,grows,VERB
14,5,here,ADV
14,6,.,PUNCT
15,1,The,DET
15,2,young,ADJ
15,3,teacher,NOUN
15,4,speaks,VERB
15,5,clearly,ADV
15,6,.,PUNCT
16,1,She,PRON
16,2,reads,VERB
16,3,the,DET
16,4,new,ADJ
16,5,book,NOUN
16,6,.,PUNCT
17,1,He,PRON
17,2,plays,VERB
17,3,football,NOUN
17,4,every,DET
17,5,day,NOUN
17,6,.,PUNCT
18,1,They,PRON
18,2,watch,VERB
18,3,a,DET
18,4,movie,NOUN
18,5,.,PUNCT
19,1,We,PRON
19,2,learn,VERB
19,3,new,ADJ
19,4,words,NOUN
19,5,.,PUNCT
20,1,I,PRON
20,2,like,VERB
20,3,fresh,ADJ
20,4,fruit,NOUN
20,5,.,PUNCT
21,1,The,DET
21,2,students,NOUN
21,3,are,AUX
21,4,very,ADV
21,5,happy,ADJ
21,6,.,PUNCT
22,1,The,DET
22,2,teacher,NOUN
22,3,is,AUX
22,4,kind,ADJ
22,5,.,PUNCT
23,1,The,DET
23,2,children,NOUN
23,3,are,AUX
23,4,playing,VERB
23,5,.,PUNCT
24,1,She,PRON
24,2,is,AUX
24,3,reading,VERB
24,4,a,DET
24,5,book,NOUN
24,6,.,PUNCT
25,1,He,PRON
25,2,is,AUX
25,3,writing,VERB
25,4,a,DET
25,5,story,NOUN
25,6,.,PUNCT
26,1,The,DET
26,2,students,NOUN
26,3,can,AUX
26,4,solve,VERB
26,5,the,DET
26,6,problem,NOUN
26,7,.,PUNCT
27,1,We,PRON
27,2,can,AUX
27,3,learn,VERB
27,4,Python,PROPN
27,5,.,PUNCT
28,1,The,DET
28,2,girl,NOUN
28,3,walks,VERB
28,4,to,ADP
28,5,school,NOUN
28,6,.,PUNCT
29,1,The,DET
29,2,man,NOUN
29,3,sits,VERB
29,4,near,ADP
29,5,the,DET
29,6,window,NOUN
29,7,.,PUNCT
30,1,A,DET
30,2,woman,NOUN
30,3,works,VERB
30,4,in,ADP
30,5,an,DET
30,6,office,NOUN
30,7,.,PUNCT
31,1,The,DET
31,2,students,NOUN
31,3,talk,VERB
31,4,with,ADP
31,5,the,DET
31,6,teacher,NOUN
31,7,.,PUNCT
32,1,The,DET
32,2,book,NOUN
32,3,is,AUX
32,4,on,ADP
32,5,the,DET
32,6,table,NOUN
32,7,.,PUNCT
33,1,The,DET
33,2,pen,NOUN
33,3,is,AUX
33,4,under,ADP
33,5,the,DET
33,6,book,NOUN
33,7,.,PUNCT
34,1,The,DET
34,2,car,NOUN
34,3,moves,VERB
34,4,very,ADV
34,5,slowly,ADV
34,6,.,PUNCT
35,1,The,DET
35,2,boy,NOUN
35,3,runs,VERB
35,4,very,ADV
35,5,fast,ADV
35,6,.,PUNCT
36,1,She,PRON
36,2,speaks,VERB
36,3,English,PROPN
36,4,well,ADV
36,5,.,PUNCT
37,1,He,PRON
37,2,plays,VERB
37,3,well,ADV
37,4,.,PUNCT
38,1,The,DET
38,2,red,ADJ
38,3,car,NOUN
38,4,looks,VERB
38,5,nice,ADJ
38,6,.,PUNCT
39,1,The,DET
39,2,blue,ADJ
39,3,bag,NOUN
39,4,is,AUX
39,5,new,ADJ
39,6,.,PUNCT
40,1,A,DET
40,2,smart,ADJ
40,3,student,NOUN
40,4,solves,VERB
40,5,the,DET
40,6,question,NOUN
40,7,.,PUNCT
41,1,The,DET
41,2,good,ADJ
41,3,teacher,NOUN
41,4,explains,VERB
41,5,the,DET
41,6,lesson,NOUN
41,7,.,PUNCT
42,1,The,DET
42,2,students,NOUN
42,3,read,VERB
42,4,books,NOUN
42,5,and,CONJ
42,6,write,VERB
42,7,notes,NOUN
42,8,.,PUNCT
43,1,The,DET
43,2,boy,NOUN
43,3,eats,VERB
43,4,rice,NOUN
43,5,and,CONJ
43,6,drinks,VERB
43,7,water,NOUN
43,8,.,PUNCT
44,1,She,PRON
44,2,buys,VERB
44,3,a,DET
44,4,new,ADJ
44,5,phone,NOUN
44,6,.,PUNCT
45,1,He,PRON
45,2,opens,VERB
45,3,the,DET
45,4,door,NOUN
45,5,slowly,ADV
45,6,.,PUNCT
46,1,The,DET
46,2,manager,NOUN
46,3,checks,VERB
46,4,the,DET
46,5,report,NOUN
46,6,.,PUNCT
47,1,The,DET
47,2,computer,NOUN
47,3,runs,VERB
47,4,the,DET
47,5,program,NOUN
47,6,.,PUNCT
48,1,The,DET
48,2,student,NOUN
48,3,uses,VERB
48,4,a,DET
48,5,computer,NOUN
48,6,.,PUNCT
49,1,The,DET
49,2,class,NOUN
49,3,starts,VERB
49,4,at,ADP
49,5,nine,NUM
49,6,.,PUNCT
50,1,I,PRON
50,2,have,VERB
50,3,two,NUM
50,4,books,NOUN
50,5,.,PUNCT
