review,sentiment
The movie was excellent and very enjoyable.,positive
I loved this film and the acting was amazing.,positive
The story was interesting and well written.,positive
A wonderful movie with great performances.,positive
The actors did an excellent job.,positive
This was one of the best movies I have watched.,positive
The film was exciting from beginning to end.,positive
I really enjoyed every minute of this movie.,positive
The characters were funny and lovable.,positive
The movie had a beautiful story.,positive
The acting was fantastic and believable.,positive
This film was entertaining and enjoyable.,positive
I would definitely recommend this movie.,positive
The director created a brilliant film.,positive
The ending was satisfying and emotional.,positive
I loved the beautiful visuals and music.,positive
The comedy was funny and entertaining.,positive
The action scenes were exciting.,positive
The movie made me feel happy.,positive
The plot was clever and engaging.,positive
The film had excellent sound and visuals.,positive
The performances were impressive.,positive
The story kept me interested throughout.,positive
This is a great movie for everyone.,positive
I enjoyed watching this film with my friends.,positive
The movie was boring and disappointing.,negative
I hated this film and wasted my time.,negative
The story was weak and poorly written.,negative
The acting was terrible and unrealistic.,negative
This was one of the worst movies I have watched.,negative
The film was slow and boring.,negative
I did not enjoy this movie at all.,negative
The characters were annoying and boring.,negative
The movie had a confusing story.,negative
The actors gave very poor performances.,negative
This film was disappointing from beginning to end.,negative
I would not recommend this movie.,negative
The director failed to create an interesting film.,negative
The ending was boring and predictable.,negative
The movie was a complete waste of time.,negative
The movie was dull and had no excitement.,negative
The plot was confusing and uninteresting.,negative
The film made me feel disappointed.,negative
The comedy was not funny at all.,negative
The action scenes were boring.,negative
The movie had poor sound quality.,negative
The performances were weak.,negative
The story could not keep my attention.,negative
This is a bad movie and I regret watching it.,negative
I did not enjoy watching this film.,negative
